,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,,,,,,,
,,,,,,Table 1. Evaluating the LLMs on the task of MT with/without POS tag information ALG->MSA.,,,,,,,,,,,
,,,,,,,,,,,,Padic-ALG-,,,,,
,,,,Comet,,Camelbert-MSA,,BLEU,,Chrf++,,,,,,,
,,,,Without,With,Without,With,Without,With,Without,With,,,,,,
,,,GPT-4o-mini-2024-07-18,73.14,69.87,75.84,74.04,5.44,5.04,32.35,30.75,updated,,,,,
,,,GPT-4o-Latest,78.48,77.39,79.11,78.34,7.95,7.11,38.41,36.37,updated,,,,,
,,,GPT-4-1106-preview,72.99,71.59,74.6,74.56,5.34,5.67,30.26,31.86,updated,,,,,
,,,Claude-3-5-sonnet-20240620,78.57,76.98,79.68,79.09,8.3,8.56,39.28,38.78,updated,,,,,
,,,Claude-3-5-sonnet-20241022,79.19,77.48,80.36,80.03,9.02,9.04,39.99,39.77,updated,,,,,
,,,claude-3-sonnet-20240229,67.12,67.8,68.19,69.92,3.23,3.55,22.8,26.05,updated,,,,,
,,,claude-3-opus-20240229,75.7,74.21,77.62,76.77,6.49,7.05,34.5,33.85,updated,,,,,
,,,claude-3-haiku-20240307,67.59,62.56,67.78,64.68,3.48,2.64,22.82,21.79,Correct,,,,,
,,,gemini 1.5 Pro,76.6,79.19,75.63,80.36,6.84,9.29,34.52,40.34,Correct,,,,,
,,,gemini-1.5-flash,69.46,66.73,70.76,68.2,5.61,4.29,29.7,28.68,Correct,some nan values replaced by '/',,,,
,,,gemini-1.5-flash-8b,70.51,66.91,71.07,68.05,4.1,2.61,27.63,24.51,Correct,,,,,
,,,llama3.1:8b-instruct-q5_0,55.32,50.56,62.88,60.06,0.63,0.34,14.44,13.23,Correct,,,,,
,,,gemma2:9b-instruct-q5_0,64.36,58.63,68.18,65.27,1.83,1.46,20.08,17.6,Correct,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
